"","real","predict"
"19385",0,0.066863200064514
"27180",0,0.0740203537312759
"41633",0,0.051416857919454
"66035",0,0.0684971928718636
"14788",0,0.0527527358532987
"65328",0,0.174945979143466
"68779",0,0.0490228949383484
"47876",0,0.0717977049101795
"45645",0,0.100223465944075
"4591",1,0.0934958031524407
"15099",0,0.119628379277468
"12941",0,0.0497162187532104
"49803",0,0.188058113703889
"28023",0,0.0696721135026013
"55774",0,0.0180806121949942
"36275",0,0.102247619835575
"51971",0,0.0278301744302693
"72359",0,0.0257133757457709
"27736",0,0.0726936631861406
"56350",0,0.0370696175971457
"68013",0,0.0350879190531476
"15540",0,0.0717212578337216
"47230",0,0.105265073722153
"9144",0,0.0745392109750523
"19503",0,0.022014670632604
"28158",1,0.136525367492006
"1004",0,0.0427506374638787
"27899",0,0.0548294741819828
"63220",0,0.0227050378791566
"24836",0,0.064594597960991
"35168",1,0.0802643515850624
"43528",0,0.0669753889278061
"35975",1,0.265827742127115
"13624",0,0.0657446706911956
"60080",0,0.0464860324914501
"48418",0,0.119336881129066
"57577",0,0.0982015175177427
"7842",0,0.118264975278421
"52381",0,0.0430063155258558
"30054",0,0.0772920004586908
"59584",0,0.108068623588402
"46897",1,0.110956129013628
"56720",0,0.128099644061528
"40192",0,0.0967296018017444
"38543",0,0.267822026802254
"57193",0,0.179566621208484
"1770",1,0.127030104492614
"34816",0,0.0882234213184844
"52994",0,0.0670782667447983
"50201",0,0.155823358618902
"34842",0,0.100365314374567
"62604",0,0.0345533368917556
"31987",0,0.0801784097515082
"17885",0,0.114555625758404
"5208",1,0.127904611568721
"7225",0,0.0477830214706062
"23049",1,0.114593373070897
"37745",0,0.116740549483046
"47926",0,0.0391356712577989
"29701",0,0.0245249303252976
"66335",0,0.0536687565326229
"21417",0,0.0425113243470593
"33512",0,0.0594776730229913
"24201",1,0.0515988554752478
"47147",0,0.0555829891216439
"18836",0,0.113924096277807
"34900",1,0.0601621879570099
"55475",0,0.0199030226661512
"6154",0,0.0792022181292764
"63587",0,0.103417513470374
"24734",0,0.0947366439482637
"60978",0,0.0424357093795233
"25286",0,0.196718419509702
"24308",0,0.097943616983106
"34737",0,0.165090900349847
"64833",0,0.0461785762479283
"62801",0,0.0426277126704861
"28434",0,0.092744259669613
"56286",0,0.034011531184436
"69925",0,0.100870714630129
"31712",0,0.0708862435296432
"51565",0,0.0663667551073144
"29189",1,0.0244049176558718
"23681",0,0.0872857394472246
"54776",0,0.040347342637499
"14850",0,0.0837765565864322
"51463",0,0.0922517018979271
"8844",0,0.0705639021416129
"17927",0,0.037001954830784
"10388",0,0.0849120367911072
"17483",1,0.148439060910293
"4362",0,0.034161820808907
"46520",0,0.0995752892670806
"63633",0,0.259186063692467
"56394",0,0.120648449662309
"57762",0,0.0211608050729638
"33231",1,0.046468231970478
"29948",0,0.217553200942263
"58798",0,0.292716333722447
"43861",0,0.0789873463873073
"47391",0,0.134306619887675
"25747",0,0.230232089145772
"19711",0,0.0617026897211302
"72327",0,0.0433279713694789
"45888",0,0.0463559770305255
"15596",0,0.0393087104147613
"9398",0,0.0328506102042969
"34850",1,0.233000283638576
"67125",0,0.0964205361374788
"43425",0,0.0370155052374139
"71089",0,0.0862102511253294
"52898",0,0.0391405728531373
"26021",0,0.0888058025145711
"31463",0,0.0214182299847587
"10724",0,0.062105664480667
"981",0,0.0554572809806191
"51754",0,0.0441789043768644
"7484",0,0.0593080499579081
"32543",0,0.087274891582329
"46346",0,0.181280223993589
"72249",0,0.181330135210145
"36074",0,0.0500225259503112
"35283",0,0.0345637048648392
"12696",0,0.0775199019769242
"54583",0,0.0265928800203708
"33099",0,0.0369219390078498
"37162",0,0.160710961371414
"15185",0,0.0498325627010238
"16706",0,0.0567678124408406
"43201",0,0.185128985299063
