id,y_real,y_pred
19390,0,0.062989763
27176,0,0.145699581
41830,0,0.145699581
66313,0,0.062989763
14728,1,0.704484305
65593,0,0.062989763
68971,0,0.145699581
48246,1,0.704484305
45933,0,0.145699581
4515,0,0.062989763
15040,0,0.062989763
12892,0,0.062989763
50160,0,0.062989763
28049,0,0.062989763
56202,1,0.062989763
36339,0,0.145699581
52390,0,0.062989763
72407,0,0.145699581
27748,0,0.062989763
56753,0,0.145699581
68230,0,0.062989763
15488,0,0.062989763
47570,0,0.145699581
9169,0,0.145699581
19509,0,0.145699581
28191,0,0.145699581
978,1,0.704484305
27917,0,0.145699581
63479,0,0.145699581
24847,0,0.145699581
35192,1,0.145699581
43763,0,0.145699581
36027,0,0.145699581
13594,0,0.062989763
60385,1,0.704484305
48791,0,0.062989763
57966,0,0.062989763
7881,0,0.145699581
52819,1,0.704484305
30021,0,0.062989763
59911,1,0.704484305
47221,1,0.062989763
57135,0,0.062989763
40361,1,0.145699581
38660,0,0.145699581
57602,0,0.145699581
1703,0,0.145699581
34830,0,0.062989763
53439,0,0.062989763
50551,0,0.062989763
34857,1,0.145699581
62839,0,0.062989763
31972,1,0.062989763
17865,0,0.145699581
5161,0,0.062989763
7260,0,0.145699581
23080,0,0.062989763
37844,0,0.145699581
48300,0,0.145699581
29688,1,0.062989763
66601,0,0.062989763
21425,0,0.145699581
33497,0,0.062989763
24256,1,0.704484305
47484,1,0.145699581
18826,0,0.062989763
34917,0,0.062989763
55904,0,0.062989763
6149,0,0.062989763
63854,0,0.145699581
24740,0,0.062989763
61235,0,0.062989763
25295,0,0.145699581
24353,0,0.062989763
34753,0,0.145699581
65079,0,0.062989763
63046,0,0.062989763
28453,0,0.062989763
56698,0,0.062989763
70064,0,0.062989763
31709,0,0.062989763
51971,0,0.145699581
29180,0,0.062989763
23735,0,0.062989763
55218,0,0.062989763
14785,0,0.062989763
51866,0,0.145699581
8879,0,0.062989763
17906,0,0.145699581
10455,0,0.062989763
17479,0,0.145699581
4301,0,0.062989763
46841,0,0.145699581
63902,1,0.704484305
56802,1,0.062989763
58143,0,0.062989763
33205,0,0.062989763
29910,1,0.145699581
59129,0,0.145699581
44113,0,0.062989763
47742,0,0.062989763
25759,1,0.062989763
19709,0,0.145699581
72378,1,0.062989763
46192,0,0.062989763
15548,0,0.062989763
9437,0,0.145699581
34866,0,0.062989763
67373,0,0.062989763
43658,0,0.062989763
71168,0,0.062989763
53355,0,0.062989763
26013,0,0.062989763
31462,0,0.062989763
10809,1,0.145699581
954,0,0.145699581
52169,0,0.145699581
7525,0,0.145699581
32540,0,0.145699581
46664,1,0.145699581
72300,0,0.062989763
36132,0,0.062989763
35313,0,0.062989763
12646,1,0.145699581
55023,0,0.145699581
33091,0,0.062989763
37265,0,0.062989763
15130,0,0.062989763
16669,0,0.145699581
43424,0,0.062989763
41904,0,0.062989763
5621,0,0.062989763
2592,0,0.145699581
46851,0,0.062989763
67680,1,0.704484305
43593,0,0.062989763
40882,0,0.062989763
38342,0,0.062989763
71791,0,0.145699581
37001,0,0.062989763
49764,0,0.062989763
43841,0,0.062989763
17411,0,0.062989763
18816,0,0.145699581
53150,0,0.062989763
32986,0,0.062989763
12764,0,0.062989763
54414,0,0.145699581
7653,0,0.145699581
62998,0,0.062989763
44790,0,0.062989763
40602,0,0.145699581
23962,0,0.062989763
33023,0,0.145699581
36469,0,0.062989763
13182,1,0.145699581
38594,1,0.145699581
5489,0,0.062989763
20240,0,0.145699581
15499,0,0.062989763
20754,0,0.145699581
65213,0,0.062989763
32517,0,0.145699581
56826,0,0.062989763
64156,1,0.145699581
30103,0,0.062989763
4653,1,0.145699581
24446,0,0.062989763
52726,0,0.062989763
24601,0,0.062989763
45926,0,0.062989763
61236,0,0.145699581
62365,0,0.062989763
28515,0,0.145699581
27722,0,0.062989763
65226,0,0.062989763
46934,0,0.062989763
53982,0,0.062989763
44093,0,0.062989763
